,x1,x2,segment,visit
0,1,7,0,0
1,9,2,1,1
2,8,7,1,1
3,0,5,0,0
4,9,9,0,1
5,0,4,0,0
6,9,0,0,1
7,8,7,1,1
8,1,9,1,1
9,4,9,1,1
10,2,1,1,1
11,9,0,0,1
12,1,3,1,0
13,4,5,0,0
14,4,9,1,1
15,4,5,1,0
16,0,9,1,0
17,0,8,1,0
18,2,9,1,1
19,6,2,0,0
20,1,0,1,1
21,0,3,1,1
22,0,6,0,0
23,3,3,1,1
24,0,0,0,0
25,3,9,1,0
26,3,0,1,0
27,3,6,1,1
28,5,8,0,0
29,6,7,0,0
30,1,3,0,0
31,3,6,1,0
32,2,6,0,1
33,6,2,0,0
34,0,2,0,0
35,5,8,1,1
36,8,6,0,0
37,8,0,1,1
38,5,8,0,1
39,9,8,1,1
40,3,8,0,0
41,0,8,1,0
42,7,0,0,0
43,7,6,0,0
44,5,1,0,0
45,1,9,1,1
46,6,3,1,1
47,3,9,1,1
48,9,4,1,1
49,5,8,0,1
50,4,4,1,1
51,7,4,1,0
52,6,9,0,0
53,1,1,1,1
54,5,6,0,0
55,4,4,0,0
56,9,5,1,1
57,3,3,0,1
58,3,4,0,0
59,7,8,0,0
60,1,6,1,1
61,3,8,1,1
62,3,2,0,0
63,0,9,1,0
64,8,9,1,0
65,3,9,1,0
66,2,4,1,1
67,2,8,0,0
68,0,1,0,0
69,1,1,1,1
70,1,0,0,0
71,5,4,1,0
72,9,9,1,1
73,8,2,1,1
74,8,0,1,0
75,1,5,1,0
76,9,9,0,1
77,1,1,1,1
78,1,4,1,0
79,8,8,0,0
80,1,0,1,0
81,4,4,0,0
82,3,8,1,0
83,0,0,0,0
84,3,5,0,0
85,3,8,0,1
86,9,0,1,0
87,8,8,1,0
88,7,6,1,1
89,5,1,0,1
90,1,5,0,0
91,1,7,1,1
92,8,6,0,1
93,1,8,1,1
94,4,9,1,0
95,4,9,1,0
96,2,0,0,1
97,9,6,0,0
98,6,9,0,0
99,1,2,1,0
100,2,2,0,0
101,3,2,1,1
102,4,0,0,0
103,3,3,1,1
104,4,8,0,1
105,8,9,1,1
106,3,4,1,0
107,3,2,1,1
108,6,9,1,1
109,6,8,1,0
110,5,6,0,0
111,0,9,0,0
112,9,9,0,0
113,8,0,1,0
114,3,2,0,0
115,7,7,0,0
116,0,8,0,0
117,1,6,0,0
118,8,6,1,0
119,8,0,0,1
120,1,5,0,0
121,8,4,0,0
122,9,5,0,0
123,1,0,1,0
124,5,8,1,1
125,3,7,0,1
126,7,1,1,0
127,4,6,0,1
128,5,0,0,1
129,3,9,1,1
130,5,3,1,1
131,1,3,0,0
132,4,7,0,0
133,3,3,1,1
134,6,0,0,0
135,8,6,0,0
136,6,7,1,0
137,9,2,0,1
138,9,7,1,1
139,8,3,0,1
140,2,3,1,0
141,5,2,1,1
142,9,3,1,0
143,8,4,0,0
144,4,6,0,1
145,2,1,1,0
146,2,6,0,0
147,5,4,1,1
148,2,1,1,1
149,2,9,1,0
150,2,9,1,1
151,9,2,0,1
152,0,0,1,0
153,0,0,0,0
154,3,5,0,0
155,7,0,0,0
156,2,3,1,1
157,8,1,0,0
158,5,5,0,0
159,7,8,1,0
160,1,0,1,1
161,3,8,0,0
162,2,5,1,1
163,2,1,0,0
164,0,1,1,0
165,1,2,1,1
166,1,5,1,1
167,5,3,0,0
168,0,7,1,0
169,5,5,1,0
170,4,1,1,0
171,2,1,0,0
172,5,3,0,0
173,7,2,0,0
174,2,4,0,0
175,1,6,1,0
176,5,0,1,0
177,8,5,1,1
178,4,7,0,0
179,4,4,1,0
180,3,6,1,0
181,0,1,1,1
182,9,5,1,1
183,3,7,1,0
184,6,8,0,1
185,2,7,1,0
186,6,8,1,0
187,9,3,1,0
188,6,0,1,1
189,5,6,0,0
190,6,8,1,0
191,6,9,0,0
192,6,5,1,0
193,8,2,0,0
194,2,2,1,0
195,5,1,0,0
196,9,7,0,1
197,6,2,0,0
198,6,5,0,0
199,2,8,0,0
200,7,5,0,0
201,1,7,1,1
202,8,0,1,0
203,6,0,0,1
204,8,0,1,1
205,9,8,0,0
206,5,1,1,0
207,7,0,1,0
208,8,6,1,0
209,4,0,0,0
210,5,5,1,0
211,9,0,0,0
212,2,0,0,1
213,1,4,1,0
214,9,9,0,0
215,8,0,0,1
216,2,7,0,1
217,8,0,1,0
218,0,5,1,0
219,8,0,0,0
220,3,7,1,1
221,5,2,1,0
222,2,8,0,0
223,5,7,0,0
224,1,1,0,0
225,0,6,1,0
226,6,1,1,1
227,7,3,0,1
228,4,6,0,0
229,8,4,1,1
230,5,6,1,0
231,9,7,1,1
232,5,8,1,0
233,3,9,1,1
234,4,5,0,0
235,6,8,0,1
236,2,7,1,0
237,5,4,0,0
238,6,2,0,0
239,2,4,0,1
240,1,3,1,1
241,8,5,1,1
242,4,2,1,1
243,5,9,0,0
244,4,2,0,0
245,8,7,0,0
246,0,8,0,0
247,2,9,1,1
248,0,9,0,0
249,9,5,0,0
250,7,3,0,1
251,5,7,0,0
252,4,0,1,1
253,1,8,0,1
254,0,7,1,0
255,6,7,0,1
256,9,0,1,0
257,1,1,0,0
258,9,3,1,1
259,0,1,1,0
260,6,7,0,0
261,5,7,1,0
262,0,6,1,1
263,1,4,1,0
264,7,8,0,0
265,6,0,1,1
266,8,4,0,1
267,1,5,0,0
268,7,2,0,0
269,5,0,0,0
270,9,9,0,0
271,6,8,0,0
272,3,0,0,0
273,9,7,0,0
274,4,9,0,0
275,2,1,0,0
276,4,3,1,0
277,1,6,0,0
278,9,4,0,0
279,2,2,0,0
280,7,0,0,0
281,9,1,1,1
282,7,0,0,1
283,3,3,1,0
284,0,6,0,0
285,3,5,1,0
286,2,7,0,0
287,5,4,0,0
288,5,3,1,1
289,7,7,0,0
290,1,5,0,0
291,2,3,0,0
292,6,1,1,0
293,9,4,1,1
294,1,3,0,0
295,2,1,1,1
296,1,6,1,0
297,3,3,0,0
298,9,0,0,0
299,9,0,1,0
300,3,5,0,0
301,7,3,1,1
302,6,2,0,0
303,0,3,1,1
304,4,9,0,0
305,5,6,0,0
306,2,7,1,0
307,6,4,1,1
308,5,7,1,0
309,6,1,0,0
310,8,8,0,0
311,4,6,1,0
312,2,0,0,1
313,7,9,0,0
314,3,2,0,0
315,2,9,1,1
316,4,6,1,0
317,5,1,1,1
318,3,0,1,0
319,9,4,1,0
320,6,7,0,0
321,8,2,1,0
322,6,9,1,0
323,4,5,0,0
324,2,5,1,0
325,5,6,1,0
326,4,7,0,0
327,5,1,1,0
328,5,4,1,0
329,8,5,0,0
330,7,9,1,0
331,1,4,1,0
332,6,3,1,1
333,4,2,0,0
334,7,3,1,1
335,7,9,1,1
336,4,0,0,1
337,3,3,1,0
338,9,8,1,1
339,8,7,1,0
340,9,7,1,0
341,3,2,1,1
342,7,7,0,0
343,7,3,1,0
344,3,6,1,1
345,8,6,0,0
346,1,3,1,1
347,9,5,0,0
348,2,5,0,1
349,4,9,1,0
350,7,3,0,0
351,6,5,1,1
352,5,0,0,0
353,8,3,0,0
354,2,1,1,0
355,4,4,0,0
356,9,2,0,0
357,1,9,0,0
358,5,8,0,0
359,9,4,1,1
360,5,5,0,1
361,5,1,0,0
362,8,6,0,0
363,3,9,1,0
364,6,3,1,0
365,5,3,1,0
366,6,8,1,0
367,9,2,0,0
368,7,8,1,1
369,9,9,0,0
370,6,0,0,0
371,7,7,0,1
372,5,7,1,1
373,7,3,1,0
374,5,9,0,0
375,6,1,0,0
376,1,5,0,0
377,8,7,1,0
378,6,9,1,1
379,9,2,1,1
380,7,8,0,0
381,7,1,1,0
382,1,2,0,1
383,6,0,0,0
384,7,6,0,0
385,0,4,1,0
386,1,8,0,0
387,3,3,0,0
388,8,6,1,0
389,9,5,1,0
390,5,5,0,0
391,6,8,1,0
392,1,1,0,0
393,2,7,0,0
394,8,9,0,0
395,9,4,1,0
396,5,3,1,1
397,4,3,0,0
398,7,3,0,0
399,5,2,1,0
400,7,4,1,1
401,1,3,1,0
402,5,0,0,0
403,3,3,1,0
404,7,7,1,1
405,3,9,1,1
406,6,4,0,0
407,8,5,1,0
408,6,7,0,0
409,3,8,1,0
410,6,7,0,1
411,5,2,0,0
412,0,7,0,1
413,2,0,0,1
414,1,5,1,1
415,0,7,1,1
416,5,3,1,0
417,9,5,1,0
418,0,6,1,0
419,8,0,0,0
420,9,5,0,0
421,7,1,1,0
422,5,5,0,0
423,6,0,1,1
424,9,6,1,0
425,2,2,1,0
426,6,9,0,0
427,2,6,0,0
428,9,2,1,1
429,1,5,1,0
430,3,3,0,0
431,2,2,0,0
432,7,2,1,1
433,6,0,1,1
434,4,5,0,0
435,9,2,0,0
436,9,8,1,1
437,1,1,0,1
438,6,1,0,1
439,4,1,1,1
440,3,1,0,0
441,1,7,1,1
442,2,3,1,1
443,4,7,0,0
444,8,2,1,0
445,6,7,1,0
446,7,0,1,0
447,0,8,0,0
448,6,7,1,0
449,0,8,1,0
450,6,4,0,0
451,5,2,1,0
452,8,0,0,1
453,3,0,1,1
454,2,5,1,1
455,1,3,1,0
456,7,9,0,0
457,6,6,0,0
458,7,5,0,0
459,2,3,0,0
460,0,5,1,0
461,2,0,1,1
462,9,5,0,0
463,0,0,1,0
464,8,1,0,0
465,4,6,0,0
466,5,3,1,0
467,9,4,0,0
468,5,5,1,0
469,7,5,0,0
470,3,0,0,0
471,6,6,0,0
472,1,7,0,1
473,6,6,0,1
474,2,7,0,0
475,0,2,0,0
476,2,1,0,0
477,0,7,1,1
478,4,6,0,0
479,6,6,0,0
480,3,9,0,0
481,9,3,1,1
482,3,2,1,0
483,3,2,0,1
484,1,6,0,0
485,8,7,0,0
486,2,8,1,1
487,1,0,1,1
488,3,5,1,1
489,3,4,1,0
490,8,1,1,1
491,0,3,0,0
492,7,6,0,1
493,1,0,1,1
494,6,3,1,1
495,2,2,0,0
496,7,0,0,0
497,1,3,1,1
498,0,9,0,0
499,1,8,0,1
500,5,1,1,1
501,6,5,1,0
502,6,2,1,0
503,2,8,0,0
504,9,6,1,0
505,1,0,0,0
506,4,0,1,0
507,0,0,1,1
508,2,3,0,0
509,7,2,1,0
510,9,8,1,1
511,3,7,1,0
512,1,1,0,0
513,0,5,0,0
514,3,0,1,1
515,3,9,1,1
516,9,8,0,0
517,4,8,0,0
518,6,7,1,0
519,5,2,0,0
520,8,5,0,0
521,7,2,1,1
522,0,4,1,0
523,9,8,1,1
524,4,6,0,0
525,0,9,1,1
526,9,6,0,0
527,1,6,1,0
528,9,8,1,1
529,7,7,1,1
530,2,3,1,0
531,7,7,0,1
532,3,0,0,1
533,7,1,1,1
534,0,6,1,0
535,1,6,1,1
536,7,0,1,0
537,9,9,1,1
538,9,4,1,0
539,7,4,0,0
540,0,5,0,0
541,8,9,0,1
542,8,1,0,0
543,1,6,1,1
544,3,0,0,0
545,8,8,0,0
546,7,0,1,0
547,2,2,1,0
548,4,4,1,1
549,0,1,0,0
